x,y
0.93800163,0.20219019
0.44250923,0.4229198
0.8631076,0.28039187
0.71579355,0.25111374
0.9413692,0.45935875
0.27763623,0.2880042
0.05029928,0.39605585
0.30166107,0.44767627
0.6159909,0.05905998
0.42015833,0.8368795
0.9714092,0.8669303
0.9637265,0.3648746
0.089015804,0.003714221
0.9617809,0.33066186
0.373186,0.372406
0.5920467,0.94889
0.23775111,0.41951188
0.5984504,0.5669743
0.99005723,0.46420667
0.14051332,0.8523336
0.0703666,0.5173047
0.011181877,0.031664547
0.15749544,0.5961366
0.34424853,0.031331465
0.52031887,0.82530606
0.4666882,0.85326207
0.8195672,0.753136
0.85722643,0.48213834
0.34528992,0.41118413
0.36520907,0.13177533
0.35757896,0.46942386
0.35105416,0.8772448
0.39489296,0.13044102
0.653647,0.67217153
0.20673093,0.7364648
0.80053306,0.966973
0.71356237,0.13576618
0.10681354,0.86831176
0.045925803,0.62301415
0.78063875,0.8941397
